Date,Time,Weight,Min,Max,Length,Min,Max,Counter,Printed Text,Status
2025-07-16,09:54:58,1000 lbs,9999.0,110000.0,0.0 ft,90.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,UNDERWEIGHT
2025-07-16,10:38:34,1000 lbs,9999.0,110000.0,0.0 ft,90.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,UNDERWEIGHT
2025-07-16,10:38:38,1000 lbs,9999.0,110000.0,0.0 ft,90.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,UNDERWEIGHT
2025-07-16,10:39:08,59.0 lbs,9999.0,110000.0,0.0 ft,90.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 59.00 LBS HN  241B11000-1  WO 04-0475,UNDERWEIGHT
2025-07-16,10:39:10,60.0 lbs,9999.0,110000.0,0.0 ft,90.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 60.00 LBS HN  241B11000-1  WO 04-0475,UNDERWEIGHT
2025-07-16,10:39:24,61.0 lbs,0,2000,0.0 ft,90.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 61.00 LBS HN  241B11000-1  WO 04-0475,UNDERLENGTH
2025-07-16,10:39:32,60.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 60.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:39:32,60.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 60.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:39:33,60.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 60.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:39:33,60.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 60.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:39:33,60.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 60.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:39:33,59.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 59.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:39:34,60.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 60.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:39:34,60.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 60.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:39:34,60.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 60.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:39:35,60.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 60.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:39:38,60.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 60.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:39:38,59.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 59.00 LBS HN  241B11000-1  WO 04-0475,OK
