No,Date,Time,Length,Weight,Printed Text,Status
1,2025-08-26,10:28:07,41.76 (NORMAL),1159.63 (NORMAL),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    41.76ft    1159.63lbs   HN 241B11000-1   WO 04-0475   ,NORMAL
A123,2025-08-26,11:39:53,41.37 (NORMAL),1166.25 (NORMAL),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.37ft  1166.25lbs  HN 241B73761-1  WO 04-0475  ,NORMAL
B75,2025-08-26,11:40:07,41.74 (NORMAL),1155.22 (UNDERWEIGHT),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.74ft  1155.22lbs  HN 241B73762-1  WO 04-0475  ,REJECT
C115,2025-08-26,11:40:14,41.72 (NORMAL),1144.2 (UNDERWEIGHT),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.72ft  1144.2lbs  HN 241B73763-1  WO 04-0475  ,REJECT
B52,2025-08-26,11:40:21,41.75 (NORMAL),1137.59 (UNDERWEIGHT),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.75ft  1137.59lbs  HN 241B73762-1  WO 04-0475  ,REJECT
C216,2025-08-26,11:40:27,40.71 (NORMAL),1144.2 (NORMAL),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  40.71ft  1144.2lbs  HN 241B73763-1  WO 04-0475  ,NORMAL
B45,2025-08-26,11:40:32,41.7 (NORMAL),1179.47 (NORMAL),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.7ft  1179.47lbs  HN 241B73762-1  WO 04-0475  ,NORMAL
B74,2025-08-26,11:40:40,40.61 (NORMAL),1119.95 (UNDERWEIGHT),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  40.61ft  1119.95lbs  HN 241B73762-1  WO 04-0475  ,REJECT
B84,2025-08-26,11:40:47,41.67 (NORMAL),480.61 (UNDERWEIGHT),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.67ft  480.61lbs  HN 241B73762-1  WO 04-0475  ,REJECT
A115,2025-08-26,11:40:51,41.78 (NORMAL),1161.84 (NORMAL),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.78ft  1161.84lbs  HN 241B73761-1  WO 04-0475  ,NORMAL
B84,2025-08-26,14:23:19,41.67 (NORMAL),1183.88 (NORMAL),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.67ft  1183.88lbs  HN 241B73762-1  WO 04-0475  ,NORMAL
A115,2025-08-26,14:26:23,41.78 (NORMAL),689.1 (UNDERWEIGHT),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.78ft  689.1lbs  HN 241B73761-1  WO 04-0475  ,REJECT
A123,2025-08-26,14:28:23,41.38 (NORMAL),652055.17 (OVERWEIGHT),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.38ft  652055.17lbs  HN 241B73761-1  WO 04-0475  ,REJECT
B75,2025-08-26,14:29:54,41.73 (NORMAL),1159.63 (NORMAL),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.73ft  1159.63lbs  HN 241B73762-1  WO 04-0475  ,NORMAL
B8,2025-08-26,14:32:42,41.76 (NORMAL),1157.43 (UNDERWEIGHT),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.76ft  1157.43lbs  HN 241B73762-1  WO 04-0475  ,REJECT
C115,2025-08-26,14:34:02,41.72 (NORMAL),1157.43 (NORMAL),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.72ft  1157.43lbs  HN 241B73763-1  WO 04-0475  ,NORMAL
B74,2025-08-26,14:35:45,40.62 (NORMAL),1137.59 (NORMAL),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  40.62ft  1137.59lbs  HN 241B73762-1  WO 04-0475  ,NORMAL
B52,2025-08-26,14:37:15,40.23 (NORMAL),1153.02 (NORMAL),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  40.23ft  1153.02lbs  HN 241B73762-1  WO 04-0475  ,NORMAL
B45,2025-08-26,14:38:59,41.71 (NORMAL),1179.47 (NORMAL),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  41.71ft  1179.47lbs  HN 241B73762-1  WO 04-0475  ,NORMAL
C216,2025-08-26,14:39:45,40.71 (NORMAL),1148.61 (NORMAL),1ST API SPEC 5CT-2221      05-25 PE 7 26.00 K S P 4600 PSI D  40.71ft  1148.61lbs  HN 241B73763-1  WO 04-0475  ,NORMAL
